User_Id,Place_Id,Place_Ratings,City_Encoded,Category_Encoded,Clipped_Price,Normalized_Price,user,place
1,179,3.0,4,1,50000,1.0,0,0
1,344,2.0,2,0,3000,0.06,0,1
1,5,5.0,1,4,50000,1.0,0,2
1,373,3.0,2,1,10000,0.2,0,3
1,101,4.0,4,1,0,0.0,0,4
1,312,2.0,0,2,11000,0.22,0,5
1,258,5.0,0,1,5000,0.1,0,6
1,20,4.0,1,1,2000,0.04,0,7
1,154,2.0,4,0,10000,0.2,0,8
1,393,5.0,3,2,0,0.0,0,9
1,103,3.0,4,4,0,0.0,0,10
1,208,5.0,4,2,10000,0.2,0,11
1,89,3.0,4,1,50000,1.0,0,12
1,405,5.0,3,4,50000,1.0,0,13
1,41,5.0,1,1,2000,0.04,0,14
1,336,4.0,2,4,15000,0.3,0,15
1,67,4.0,1,2,25000,0.5,0,16
1,292,3.0,0,2,0,0.0,0,17
1,222,3.0,0,1,0,0.0,0,18
1,76,2.0,1,4,20000,0.4,0,19
1,428,3.0,3,1,0,0.0,0,20
1,15,3.0,1,3,0,0.0,0,21
1,246,4.0,0,2,10000,0.2,0,22
1,265,5.0,0,1,0,0.0,0,23
1,21,2.0,1,1,5000,0.1,0,24
1,328,2.0,0,2,10000,0.2,0,25
1,307,4.0,0,2,5000,0.1,0,26
1,302,2.0,0,5,0,0.0,0,27
1,48,2.0,1,1,5000,0.1,0,28
1,328,2.0,0,2,10000,0.2,0,25
2,147,2.0,4,1,0,0.0,1,29
2,2,5.0,1,1,0,0.0,1,30
2,322,4.0,0,2,0,0.0,1,31
2,23,3.0,1,5,0,0.0,1,32
2,85,4.0,4,4,6000,0.12,1,33
2,371,3.0,2,2,25000,0.5,1,34
2,78,5.0,1,4,1000,0.02,1,35
2,111,2.0,4,4,3000,0.06,1,36
2,107,2.0,4,1,5000,0.1,1,37
2,185,2.0,4,0,10000,0.2,1,38
2,413,3.0,3,1,2000,0.04,1,39
2,389,2.0,2,2,0,0.0,1,40
2,437,5.0,3,5,10000,0.2,1,41
2,105,2.0,4,1,0,0.0,1,42
2,176,3.0,4,1,10000,0.2,1,43
2,407,5.0,3,4,0,0.0,1,44
2,208,5.0,4,2,10000,0.2,1,11
2,437,4.0,3,5,10000,0.2,1,41
2,208,3.0,4,2,10000,0.2,1,11
2,281,2.0,0,4,50000,1.0,1,45
2,167,2.0,4,2,0,0.0,1,46
2,384,5.0,2,1,0,0.0,1,47
2,426,4.0,3,1,0,0.0,1,48
2,390,2.0,2,2,5000,0.1,1,49
2,367,2.0,2,2,7000,0.14,1,50
2,166,2.0,4,2,6000,0.12,1,51
2,18,5.0,1,1,2000,0.04,1,52
2,321,3.0,0,4,30000,0.6,1,53
2,262,3.0,0,2,50000,1.0,1,54
3,223,5.0,0,5,0,0.0,2,55
3,17,5.0,1,1,5000,0.1,2,56
3,319,5.0,0,2,5000,0.1,2,57
3,310,3.0,0,2,0,0.0,2,58
3,421,3.0,3,1,10000,0.2,2,59
